Prediction,Survived,index,Probability,Age Imp,Fare Imp,Sibsp Imp,Parch Imp,Pclass Imp,Embarked Q Imp,Embarked S Imp,Sex Male Imp,top_features,Age,Fare,Sibsp,Parch,Pclass,Embarked Q,Embarked S,Sex Male
1.0,0,15,0.59,0.080387875,-0.019954765,0.14366777,-0.017651951000000003,-0.71725607,0.0012547066,-0.17009671,1.6292862,<pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Embarked S</neg_highlight> <pos_highlight>Sibsp</pos_highlight> <pos_highlight>Age</pos_highlight> <neg_highlight>Fare</neg_highlight>,14.0,7.8542,0,0,3,0,1,0
1.0,1,16,0.89,-0.63590354,0.030640665,0.09427796,-0.009676,0.8352065999999999,0.0012547066,-0.008241796,2.362859,<pos_highlight>Sex Male</pos_highlight> <pos_highlight>Pclass</pos_highlight> <neg_highlight>Age</neg_highlight> <pos_highlight>Sibsp</pos_highlight> <pos_highlight>Fare</pos_highlight> <neg_highlight>Parch</neg_highlight>,55.0,16.0,0,0,2,0,1,0
0.0,0,17,0.09,1.1409883,-0.30509737,-2.0245596999999997,0.23971535,-0.28151998,-0.052666634000000004,0.09804588,-0.54272646,<neg_highlight>Sibsp</neg_highlight> <pos_highlight>Age</pos_highlight> <neg_highlight>Sex Male</neg_highlight> <neg_highlight>Fare</neg_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Parch</pos_highlight>,2.0,29.125,4,1,3,1,0,1
0.0,1,18,0.16,-0.037822656,0.0019889101,0.097948045,-0.04283941,0.12784833,0.004120874,-0.09061401,-1.1475306,<neg_highlight>Sex Male</neg_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Embarked S</neg_highlight> <neg_highlight>Parch</neg_highlight> <neg_highlight>Age</neg_highlight>,0.0,13.0,0,0,2,0,1,1
1.0,0,19,0.5,0.13375923,0.03582956,-0.11714681,-0.009580033,-0.8023853,0.0012547066,-0.07540023,1.4158223,<pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Age</pos_highlight> <neg_highlight>Sibsp</neg_highlight> <neg_highlight>Embarked S</neg_highlight> <pos_highlight>Fare</pos_highlight>,31.0,18.0,1,0,3,0,1,0
1.0,1,20,0.75,0.03603156,-0.13775313,0.09481149,-4.5531197e-05,-0.58817333,0.0009884393,0.38054540000000003,1.8843246999999999,<pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Embarked S</pos_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Sibsp</pos_highlight> <pos_highlight>Age</pos_highlight>,0.0,7.225,0,0,3,0,0,0
0.0,0,21,0.18,0.13308567,-0.11111774,0.11774637,-0.061219614000000006,0.09360299999999999,0.0034650173,0.01831871,-1.1657798000000001,<neg_highlight>Sex Male</neg_highlight> <pos_highlight>Age</pos_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Pclass</pos_highlight> <neg_highlight>Parch</neg_highlight>,35.0,26.0,0,0,2,0,1,1
0.0,1,22,0.15,0.040843554,-0.17041789,0.112876795,-0.062383875,0.07102775,0.0034650173,0.020338522,-1.1820374,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Sibsp</pos_highlight> <pos_highlight>Pclass</pos_highlight> <neg_highlight>Parch</neg_highlight> <pos_highlight>Age</pos_highlight>,34.0,13.0,0,0,2,0,1,1
1.0,1,23,0.77,0.19606936,0.22083767,0.09374123,-0.017651951000000003,-0.6549415,-0.021571077,0.35119167,1.617329,<pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Embarked S</pos_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Age</pos_highlight> <pos_highlight>Sibsp</pos_highlight>,15.0,8.0292,0,0,3,1,0,0
0.0,1,24,0.4,0.105182044,0.46373138,0.12370937,-0.019074338,0.6487305999999999,0.0034650173,-0.10809062400000001,-1.052538,<neg_highlight>Sex Male</neg_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Embarked S</neg_highlight> <pos_highlight>Age</pos_highlight>,28.0,35.5,0,0,1,0,1,1
0.0,0,25,0.17,0.27801302,-0.09705411,-1.5011783,0.21738538,-0.77313626,0.0011549614,-0.15163498,0.97086877,<neg_highlight>Sibsp</neg_highlight> <pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Age</pos_highlight> <pos_highlight>Parch</pos_highlight> <neg_highlight>Embarked S</neg_highlight>,8.0,21.075,3,1,3,0,1,0
0.0,1,26,0.19,-0.18409415,-0.20360444,-0.11444807,0.017057162,-1.125175,0.0012547066,-0.16142681,0.9062423000000001,<neg_highlight>Pclass</neg_highlight> <pos_highlight>Sex Male</pos_highlight> <neg_highlight>Fare</neg_highlight> <neg_highlight>Age</neg_highlight> <neg_highlight>Embarked S</neg_highlight> <neg_highlight>Sibsp</neg_highlight>,38.0,31.3875,1,5,3,0,1,0
0.0,0,27,0.09,-0.18246032,-0.6137438000000001,0.097101875,-0.047753353,-0.24570058,0.0023897577,0.28158996,-1.0053663000000002,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Embarked S</pos_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Age</neg_highlight> <pos_highlight>Sibsp</pos_highlight>,0.0,7.225,0,0,3,0,0,1
0.0,0,28,0.13,0.26405138,-0.23710401,-0.9741948,0.16595727,0.6015174,0.0024071820000000003,-0.1083624,-1.0918378,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Sibsp</neg_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Age</pos_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Parch</pos_highlight>,19.0,263.0,3,2,1,0,1,1
1.0,1,29,0.78,0.1288542,-0.09426974,0.09430997,0.0048684115,-0.5908554,-0.02436148,0.38054540000000003,1.917118,<pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Embarked S</pos_highlight> <pos_highlight>Age</pos_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Fare</neg_highlight>,0.0,7.8792,0,0,3,1,0,0
0.0,0,30,0.05,-0.27251187,-0.7524065999999999,0.09161703,-0.04283941,-0.2595649,0.004120874,-0.11986396,-0.941075,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Fare</neg_highlight> <neg_highlight>Age</neg_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Embarked S</neg_highlight> <pos_highlight>Sibsp</pos_highlight>,0.0,7.8958,0,0,3,0,1,1
0.0,0,31,0.23,-0.60703075,0.16459158,0.12133758,-0.019074338,0.72678024,0.0034650173,-0.06192874,-0.9896818000000002,<neg_highlight>Sex Male</neg_highlight> <pos_highlight>Pclass</pos_highlight> <neg_highlight>Age</neg_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Embarked S</neg_highlight>,40.0,27.7208,0,0,1,0,0,1
1.0,1,32,0.93,-0.22179316,-0.31517175,0.058516975,0.045442034000000006,1.2316943,0.0014169745999999999,0.23182315,2.0444758000000003,<pos_highlight>Sex Male</pos_highlight> <pos_highlight>Pclass</pos_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Embarked S</pos_highlight> <neg_highlight>Age</neg_highlight> <pos_highlight>Sibsp</pos_highlight>,0.0,146.5208,1,0,1,0,0,0
1.0,1,33,0.78,0.1288542,-0.0856166,0.09430997,0.0048684115,-0.5908554,-0.016993945,0.38054540000000003,1.9010971999999997,<pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Embarked S</pos_highlight> <pos_highlight>Age</pos_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Fare</neg_highlight>,0.0,7.75,0,0,3,1,0,0
0.0,0,34,0.06,-0.88745785,-0.28078765,0.0990934,-0.062383875,0.13364491,0.0034650173,0.01737591,-1.1924538999999998,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Age</neg_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Parch</neg_highlight>,66.0,10.5,0,0,2,0,1,1
1.0,0,35,0.49,0.15404837,0.4637048,0.015870037,-0.018715037,0.6928430999999999,0.0034650173,0.29747432,-1.069611,<neg_highlight>Sex Male</neg_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Embarked S</pos_highlight> <pos_highlight>Age</pos_highlight> <neg_highlight>Parch</neg_highlight>,28.0,82.1708,1,0,1,0,0,1
0.0,0,36,0.27,-0.20257664,0.19656464,-0.02462792,-0.018715037,0.77655697,0.0034650173,-0.079573594,-1.0790988000000001,<neg_highlight>Sex Male</neg_highlight> <pos_highlight>Pclass</pos_highlight> <neg_highlight>Age</neg_highlight> <pos_highlight>Fare</pos_highlight> <neg_highlight>Embarked S</neg_highlight> <neg_highlight>Sibsp</neg_highlight>,42.0,52.0,1,0,1,0,1,1
0.0,1,37,0.09,-0.18246032,-0.6137438000000001,0.097101875,-0.047753353,-0.24570058,0.0023897577,0.28158996,-1.0053663000000002,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Embarked S</pos_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Age</neg_highlight> <pos_highlight>Sibsp</pos_highlight>,0.0,7.2292,0,0,3,0,0,1
0.0,0,38,0.12,-0.08686911,-0.22526465,0.10375673,-0.062383875,-0.30928913,0.0034650173,-0.13084577,-0.7441504,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Fare</neg_highlight> <neg_highlight>Embarked S</neg_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Age</neg_highlight>,21.0,8.05,0,0,3,0,1,1
0.0,0,39,0.4,-0.2050974,0.061204575,-0.1402398,-0.009580033,-0.8021508,0.0009926936,-0.19043647,1.4576604,<pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Age</neg_highlight> <neg_highlight>Embarked S</neg_highlight> <neg_highlight>Sibsp</neg_highlight> <pos_highlight>Fare</pos_highlight>,18.0,18.0,2,0,3,0,1,0
1.0,1,40,0.64,0.12619957,-0.06868845,-0.045733508,-0.017555984,-0.70678216,0.0012547066,0.36659,1.4899702,<pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Embarked S</pos_highlight> <pos_highlight>Age</pos_highlight> <neg_highlight>Fare</neg_highlight> <neg_highlight>Sibsp</neg_highlight>,14.0,11.2417,1,0,3,0,0,0
0.0,0,41,0.26,-0.58686286,-0.21727026,-0.10681204,-0.017555984,-0.8492132,0.0012547066,-0.06156806,1.3726032,<pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Age</neg_highlight> <neg_highlight>Fare</neg_highlight> <neg_highlight>Sibsp</neg_highlight> <neg_highlight>Embarked S</neg_highlight>,40.0,9.475,1,0,3,0,1,0
1.0,0,42,0.89,0.09038255,-0.09225601,-0.121015586,-0.009580033,0.72688776,0.0012547066,-0.12269589,2.1541697999999996,<pos_highlight>Sex Male</pos_highlight> <pos_highlight>Pclass</pos_highlight> <neg_highlight>Embarked S</neg_highlight> <neg_highlight>Sibsp</neg_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Age</pos_highlight>,27.0,21.0,1,0,2,0,1,0
0.0,0,43,0.09,-0.10440303,-0.71958977,0.096842274,-0.04283941,-0.24931975,0.004120874,0.28158996,-0.99730635,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Embarked S</pos_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Age</neg_highlight> <pos_highlight>Sibsp</pos_highlight>,0.0,7.8958,0,0,3,0,0,1
1.0,1,44,0.98,1.2582968,-0.01369768,0.05953424,0.04859016,1.0262784,0.0014169745999999999,0.1845265,1.7665335,<pos_highlight>Sex Male</pos_highlight> <pos_highlight>Age</pos_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Embarked S</pos_highlight> <pos_highlight>Sibsp</pos_highlight> <pos_highlight>Parch</pos_highlight>,3.0,41.5792,1,2,2,0,0,0
1.0,1,45,0.75,0.14451084,-0.02178013,0.08666246400000001,-0.017651951000000003,-0.6625408,-0.021571077,0.40519717,1.7602683000000001,<pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Embarked S</pos_highlight> <pos_highlight>Age</pos_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Fare</neg_highlight>,19.0,7.8792,0,0,3,1,0,0
0.0,0,46,0.1,-0.21176334,-0.3002995,0.09608343,-0.04283941,-0.26661440000000003,0.004120874,-0.11986396,-0.79828125,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Fare</neg_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Age</neg_highlight> <neg_highlight>Embarked S</neg_highlight> <pos_highlight>Sibsp</pos_highlight>,0.0,8.05,0,0,3,0,1,1
0.0,0,47,0.2,0.1986783,-0.018937156,0.062971085,-0.04059244,-0.26263702,-0.07084907,0.22607997,-0.901675,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Embarked S</pos_highlight> <pos_highlight>Age</pos_highlight> <neg_highlight>Embarked Q</neg_highlight> <pos_highlight>Sibsp</pos_highlight>,0.0,15.5,1,0,3,1,0,1
1.0,1,48,0.78,0.1288542,-0.0856166,0.09430997,0.0048684115,-0.5908554,-0.016993945,0.38054540000000003,1.9010971999999997,<pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Embarked S</pos_highlight> <pos_highlight>Age</pos_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Fare</neg_highlight>,0.0,7.75,0,0,3,1,0,0
0.0,0,49,0.24,0.25171322,0.06829668,0.020947471000000002,-0.04059244,-0.26263702,0.0030630391999999997,0.22607997,-0.8698286,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Age</pos_highlight> <pos_highlight>Embarked S</pos_highlight> <pos_highlight>Fare</pos_highlight> <neg_highlight>Parch</neg_highlight>,0.0,21.6792,2,0,3,0,0,1
0.0,0,50,0.4,-0.20123926,0.061204575,-0.10917177,-0.009580033,-0.8021508,0.0012547066,-0.19043647,1.4224722,<pos_highlight>Sex Male</pos_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Age</neg_highlight> <neg_highlight>Embarked S</neg_highlight> <neg_highlight>Sibsp</neg_highlight> <pos_highlight>Fare</pos_highlight>,18.0,17.8,1,0,3,0,1,0
0.0,0,51,0.1,0.78411293,-0.19324137,-1.5738705,0.2514337,-0.32652512,0.0030630391999999997,-0.08718399,-0.47856262,<neg_highlight>Sibsp</neg_highlight> <pos_highlight>Age</pos_highlight> <neg_highlight>Sex Male</neg_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Parch</pos_highlight> <neg_highlight>Fare</neg_highlight>,7.0,39.6875,4,1,3,0,1,1
0.0,0,52,0.12,0.07551028,-0.3184902,0.099290356,-0.062383875,-0.30130258,0.0034650173,-0.13084577,-0.8413018,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Fare</neg_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Embarked S</neg_highlight> <pos_highlight>Sibsp</pos_highlight> <pos_highlight>Age</pos_highlight>,21.0,7.8,0,0,3,0,1,1
1.0,1,53,0.97,-0.16972329,0.52105016,-0.031219067000000003,0.0010236059,1.4948458999999998,0.0012547066,0.24744236,2.0339904,<pos_highlight>Sex Male</pos_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Embarked S</pos_highlight> <neg_highlight>Age</neg_highlight> <neg_highlight>Sibsp</neg_highlight>,49.0,76.7292,1,0,1,0,0,0
1.0,1,54,0.87,-0.014696861,-0.2669548,-0.121004455,-0.009580033,0.9636544,0.0012547066,-0.14135857,2.0886924,<pos_highlight>Sex Male</pos_highlight> <pos_highlight>Pclass</pos_highlight> <neg_highlight>Fare</neg_highlight> <neg_highlight>Embarked S</neg_highlight> <neg_highlight>Sibsp</neg_highlight> <neg_highlight>Age</neg_highlight>,29.0,26.0,1,0,2,0,1,0
0.0,0,55,0.23,-0.9084109,0.3966579,0.10101619,0.23087545,0.5045526,0.0034650173,0.15948121,-1.1115611,<neg_highlight>Sex Male</neg_highlight> <neg_highlight>Age</neg_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Parch</pos_highlight> <pos_highlight>Embarked S</pos_highlight>,65.0,61.9792,0,1,1,0,0,1
0.0,1,56,0.33,-0.16520505,0.62573564,0.1000815,0.00047012104000000005,0.46867445,0.004120874,-0.09779215,-1.065564,<neg_highlight>Sex Male</neg_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Pclass</pos_highlight> <neg_highlight>Age</neg_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Embarked S</neg_highlight>,0.0,35.5,0,0,1,0,1,1
1.0,1,57,0.87,-0.09864345,-0.28017882,0.09623615,-0.017651951000000003,0.7513989000000001,0.0012547066,-0.13596405,2.1236115,<pos_highlight>Sex Male</pos_highlight> <pos_highlight>Pclass</pos_highlight> <neg_highlight>Fare</neg_highlight> <neg_highlight>Embarked S</neg_highlight> <neg_highlight>Age</neg_highlight> <pos_highlight>Sibsp</pos_highlight>,21.0,10.5,0,0,2,0,1,0
0.0,0,58,0.21,0.39511540000000006,-0.25869197,0.09321091,-0.06281878,-0.2960762,0.0017339005,0.25748357,-0.8973103000000001,<neg_highlight>Sex Male</neg_highlight> <pos_highlight>Age</pos_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Embarked S</pos_highlight> <pos_highlight>Sibsp</pos_highlight>,28.5,7.2292,0,0,3,0,0,1
1.0,1,59,0.97,1.5251774,-0.064552605,0.07623103,0.04886304599999999,0.96826804,0.0014169745999999999,-0.07086028,1.4916027,<pos_highlight>Age</pos_highlight> <pos_highlight>Sex Male</pos_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Sibsp</pos_highlight> <neg_highlight>Embarked S</neg_highlight> <neg_highlight>Fare</neg_highlight>,5.0,27.75,1,2,2,0,1,0
0.0,0,60,0.06,0.63695973,-0.22893947,-1.9612901000000003,0.18975675,-0.33579275,0.0030630391999999997,-0.11235059,-0.4558956,<neg_highlight>Sibsp</neg_highlight> <pos_highlight>Age</pos_highlight> <neg_highlight>Sex Male</neg_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Parch</pos_highlight>,11.0,46.9,5,2,3,0,1,1
0.0,0,61,0.21,0.32031858,-0.23863254,0.09148930000000001,-0.06281878,-0.28837529999999995,0.0017339005,0.30624187,-0.8973103000000001,<neg_highlight>Sex Male</neg_highlight> <pos_highlight>Age</pos_highlight> <pos_highlight>Embarked S</pos_highlight> <neg_highlight>Pclass</neg_highlight> <neg_highlight>Fare</neg_highlight> <pos_highlight>Sibsp</pos_highlight>,22.0,7.2292,0,0,3,0,0,1
1.0,1,62,0.97,-0.1667553,0.5567801,0.064734004,0.0009276389,1.4207796,0.0012547066,0.2095301,2.0578547,<pos_highlight>Sex Male</pos_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Embarked S</pos_highlight> <neg_highlight>Age</neg_highlight> <pos_highlight>Sibsp</pos_highlight>,38.0,80.0,0,0,1,0,0,0
0.0,0,63,0.25,-0.5627465,0.49813140000000006,-0.02253497,-0.018715037,0.71984196,0.0034650173,-0.079573594,-1.0502837,<neg_highlight>Sex Male</neg_highlight> <pos_highlight>Pclass</pos_highlight> <neg_highlight>Age</neg_highlight> <pos_highlight>Fare</pos_highlight> <neg_highlight>Embarked S</neg_highlight> <neg_highlight>Sibsp</neg_highlight>,45.0,83.475,1,0,1,0,1,1
0.0,0,64,0.12,1.4626995,-0.29551756,-2.0031433,0.20250458,-0.2862491,0.0030630391999999997,-0.045319042999999996,-0.44567358,<neg_highlight>Sibsp</neg_highlight> <pos_highlight>Age</pos_highlight> <neg_highlight>Sex Male</neg_highlight> <neg_highlight>Fare</neg_highlight> <neg_highlight>Pclass</neg_highlight> <pos_highlight>Parch</pos_highlight>,4.0,27.9,3,2,3,0,1,1
1.0,0,65,0.46,0.01629205,0.5495431,0.14091328,0.00047012104000000005,0.4946161,0.004120874,0.20895439999999998,-0.996923,<neg_highlight>Sex Male</neg_highlight> <pos_highlight>Fare</pos_highlight> <pos_highlight>Pclass</pos_highlight> <pos_highlight>Embarked S</pos_highlight> <pos_highlight>Sibsp</pos_highlight> <pos_highlight>Age</pos_highlight>,0.0,27.7208,0,0,1,0,0,1
